mass_den,atom_num_1,atom_per_mol_1,atom_num_2,atom_per_mol_2,atom_num_3,atom_per_mol_3,atom_num_4,atom_per_mol_4,atom_num_5,atom_per_mol_5,mean_excit,geo_number,spc,energy_ratio
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086,30,120,0.573039
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136,90,120,0.270038
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882,30,120,0.625693
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032,90,120,0.522637
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957,120,120,0.134109
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957,60,120,0.268895
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553,30,120,0.631566
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159,30,120,0.531858
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506,60,120,0.623178
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,200,120,0.0696419
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159,120,120,0.311679
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,90,120,0.214057
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553,120,120,0.611747
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158,30,120,0.605311
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086,60,120,0.501337
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957,30,120,0.437095
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086,120,120,0.411854
2.84,1,1.0,6,0.499975397,74,0.089006856,-1,-1,-1,-1,276.941114,90,120,0.271667
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553,60,120,0.626388
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218,90,120,0.349181
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159,60,120,0.430467
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882,120,120,0.371332
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882,60,120,0.535675
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799,90,120,0.372505
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506,30,120,0.630639
